Date,Model,FLOP,Joules/FLOP,Data (tokens),GPU,Energy (Joules),US energy price (cents/kwh),Total energy spend ($),Talent Hours,Num Authors,MMLU,HellaSwag,HumanEval,,Historical
,,3.49394E+194,0,1.59E+128,,,,,,,,,,,
,,1.08779E+196,0,1.65E+129,,,,,,,,,,,
,,3.38671E+197,0,1.72E+130,,,,,,,,,,,
,,1.05441E+199,0,1.79E+131,,,,,,,,,,,
,,3.28276E+200,0,1.86E+132,,,,,,,,,,,
,,1.02204E+202,0,1.94E+133,,,,,,,,,,,
,,3.182E+203,0,2.02E+134,,,,,,,,,,,
,,9.90676E+204,0,2.11E+135,,,,,,,,,,,
,,3.08434E+206,0,2.19E+136,,,,,,,,,,,
,,9.6027E+207,0,2.28E+137,,,,,,,,,,,
,,2.98967E+209,0,2.38E+138,,,,,,,,,,,
,,9.30797E+210,0,2.48E+139,,,,,,,,,,,
,,2.89791E+212,0,2.58E+140,,,,,,,,,,,
,,9.02228E+213,0,2.69E+141,,,,,,,,,,,
,,2.80897E+215,0,2.80E+142,,,,,,,,,,,
,,8.74536E+216,0,2.91E+143,,,,,,,,,,,
,,2.72276E+218,0,3.04E+144,,,,,,,,,,,
,,8.47695E+219,0,3.16E+145,,,,,,,,,,,
,,2.63919E+221,0,3.29E+146,,,,,,,,,,,
,,8.21677E+222,0,3.43E+147,,,,,,,,,,,
,,2.55818E+224,0,3.57E+148,,,,,,,,,,,
,,7.96458E+225,0,3.72E+149,,,,,,,,,,,
,,2.47967E+227,0,3.87E+150,,,,,,,,,,,
,,7.72012E+228,0,4.03E+151,,,,,,,,,,,
,,2.40356E+230,0,4.20E+152,,,,,,,,,,,
,,7.48317E+231,0,4.37E+153,,,,,,,,,,,
,,2.32979E+233,0,4.55E+154,,,,,,,,,,,
,,7.2535E+234,0,4.74E+155,,,,,,,,,,,
,,2.25828E+236,0,4.94E+156,,,,,,,,,,,
,,7.03087E+237,0,5.14E+157,,,,,,,,,,,
,,2.18897E+239,0,5.36E+158,,,,,,,,,,,
,,6.81508E+240,0,5.58E+159,,,,,,,,,,,
,,2.12179E+242,0,5.81E+160,,,,,,,,,,,
,,6.6059E+243,0,6.05E+161,,,,,,,,,,,
,,2.05666E+245,0,6.30E+162,,,,,,,,,,,
,,6.40315E+246,0,6.56E+163,,,,,,,,,,,
,,1.99354E+248,0,6.83E+164,,,,,,,,,,,
,,6.20662E+249,0,7.12E+165,,,,,,,,,,,
,,1.93235E+251,0,7.41E+166,,,,,,,,,,,
,,6.01613E+252,0,7.72E+167,,,,,,,,,,,
,,1.87304E+254,0,8.04E+168,,,,,,,,,,,
,,5.83148E+255,0,8.37E+169,,,,,,,,,,,
,,1.81555E+257,0,8.72E+170,,,,,,,,,,,
,,5.65249E+258,0,9.08E+171,,,,,,,,,,,
,,1.75983E+260,0,9.46E+172,,,,,,,,,,,
,,5.47901E+261,0,9.85E+173,,,,,,,,,,,
,,1.70582E+263,0,1.03E+175,,,,,,,,,,,
,,5.31084E+264,0,1.07E+176,,,,,,,,,,,
,,1.65346E+266,0,1.11E+177,,,,,,,,,,,
,,5.14784E+267,0,1.16E+178,,,,,,,,,,,
,,1.60271E+269,0,1.21E+179,,,,,,,,,,,
,,4.98984E+270,0,1.26E+180,,,,,,,,,,,
,,1.55352E+272,0,1.31E+181,,,,,,,,,,,
,,4.83669E+273,0,1.36E+182,,,,,,,,,,,
,,1.50584E+275,0,1.42E+183,,,,,,,,,,,
,,4.68824E+276,0,1.48E+184,,,,,,,,,,,
,,1.45962E+278,0,1.54E+185,,,,,,,,,,,
,,4.54435E+279,0,1.60E+186,,,,,,,,,,,
,,1.41482E+281,0,1.67E+187,,,,,,,,,,,
,,4.40487E+282,0,1.74E+188,,,,,,,,,,,
,,1.3714E+284,0,1.81E+189,,,,,,,,,,,
,,4.26967E+285,0,1.89E+190,,,,,,,,,,,
,,1.32931E+287,0,1.96E+191,,,,,,,,,,,
,,4.13863E+288,0,2.04E+192,,,,,,,,,,,
,,1.28851E+290,0,2.13E+193,,,,,,,,,,,
,,4.0116E+291,0,2.22E+194,,,,,,,,,,,
,,1.24896E+293,0,2.31E+195,,,,,,,,,,,
,,3.88847E+294,0,2.41E+196,,,,,,,,,,,
,,1.21063E+296,0,2.50E+197,,,,,,,,,,,
,,3.76913E+297,0,2.61E+198,,,,,,,,,,,
,,1.17347E+299,0,2.72E+199,,,,,,,,,,,
,,3.65344E+300,0,2.83E+200,,,,,,,,,,,
,,1.13745E+302,0,2.95E+201,,,,,,,,,,,
,,3.54131E+303,0,3.07E+202,,,,,,,,,,,
,,1.10254E+305,0,3.20E+203,,,,,,,,,,,
,,3.43262E+306,0,3.33E+204,,,,,,,,,,,
,,1.0687E+308,0,3.47E+205,,,,,,,,,,,
,,#NUM!,0,3.61E+206,,,,,,,,,,,
,,#NUM!,0,3.76E+207,,,,,,,,,,,
,,#NUM!,0,3.91E+208,,,,,,,,,,,
,,#NUM!,0,4.08E+209,,,,,,,,,,,
,,#NUM!,0,4.25E+210,,,,,,,,,,,
,,#NUM!,0,4.42E+211,,,,,,,,,,,
,,#NUM!,0,4.60E+212,,,,,,,,,,,
,,#NUM!,0,4.80E+213,,,,,,,,,,,
,,#NUM!,0,4.99E+214,,,,,,,,,,,
,,#NUM!,0,5.20E+215,,,,,,,,,,,
,,#NUM!,0,5.42E+216,,,,,,,,,,,
,,#NUM!,0,5.64E+217,,,,,,,,,,,
,,#NUM!,0,5.87E+218,,,,,,,,,,,
,,#NUM!,0,6.12E+219,,,,,,,,,,,
,,#NUM!,0,6.37E+220,,,,,,,,,,,
,,#NUM!,0,6.64E+221,,,,,,,,,,,
,,#NUM!,0,6.91E+222,,,,,,,,,,,
,,#NUM!,0,7.20E+223,,,,,,,,,,,
,,#NUM!,0,7.49E+224,,,,,,,,,,,
,,#NUM!,0,7.80E+225,,,,,,,,,,,
,,#NUM!,0,8.13E+226,,,,,,,,,,,
,,#NUM!,0,8.46E+227,,,,,,,,,,,
,,#NUM!,0,8.82E+228,,,,,,,,,,,
,,#NUM!,0,9.18E+229,,,,,,,,,,,
,,#NUM!,0,9.56E+230,,,,,,,,,,,
,,#NUM!,0,9.96E+231,,,,,,,,,,,
,,#NUM!,0,1.04E+233,,,,,,,,,,,
,,#NUM!,0,1.08E+234,,,,,,,,,,,
,,#NUM!,0,1.12E+235,,,,,,,,,,,
,,#NUM!,0,1.17E+236,,,,,,,,,,,
,,#NUM!,0,1.22E+237,,,,,,,,,,,
,,#NUM!,0,1.27E+238,,,,,,,,,,,
,,#NUM!,0,1.32E+239,,,,,,,,,,,
,,#NUM!,0,1.38E+240,,,,,,,,,,,
,,#NUM!,0,1.43E+241,,,,,,,,,,,
,,#NUM!,0,1.49E+242,,,,,,,,,,,
,,#NUM!,0,1.56E+243,,,,,,,,,,,
,,#NUM!,0,1.62E+244,,,,,,,,,,,
,,#NUM!,0,1.69E+245,,,,,,,,,,,
,,#NUM!,0,1.76E+246,,,,,,,,,,,
,,#NUM!,0,1.83E+247,,,,,,,,,,,
,,#NUM!,0,1.91E+248,,,,,,,,,,,
,,#NUM!,0,1.99E+249,,,,,,,,,,,
,,#NUM!,0,2.07E+250,,,,,,,,,,,
,,#NUM!,0,2.15E+251,,,,,,,,,,,
,,#NUM!,0,2.24E+252,,,,,,,,,,,
,,#NUM!,0,2.34E+253,,,,,,,,,,,
,,#NUM!,0,2.43E+254,,,,,,,,,,,
,,#NUM!,0,2.53E+255,,,,,,,,,,,
,,#NUM!,0,2.64E+256,,,,,,,,,,,
,,#NUM!,0,2.75E+257,,,,,,,,,,,
,,#NUM!,0,2.86E+258,,,,,,,,,,,
,,#NUM!,0,2.98E+259,,,,,,,,,,,
,,#NUM!,0,3.10E+260,,,,,,,,,,,
,,#NUM!,0,3.23E+261,,,,,,,,,,,
,,#NUM!,0,3.36E+262,,,,,,,,,,,
,,#NUM!,0,3.50E+263,,,,,,,,,,,
,,#NUM!,0,3.65E+264,,,,,,,,,,,
,,#NUM!,0,3.80E+265,,,,,,,,,,,
,,#NUM!,0,3.96E+266,,,,,,,,,,,
,,#NUM!,0,4.12E+267,,,,,,,,,,,
,,#NUM!,0,4.29E+268,,,,,,,,,,,
,,#NUM!,0,4.47E+269,,,,,,,,,,,
,,#NUM!,0,4.66E+270,,,,,,,,,,,
,,#NUM!,0,4.85E+271,,,,,,,,,,,
,,#NUM!,0,5.05E+272,,,,,,,,,,,
,,#NUM!,0,5.26E+273,,,,,,,,,,,
,,#NUM!,0,5.48E+274,,,,,,,,,,,
,,#NUM!,0,5.70E+275,,,,,,,,,,,
,,#NUM!,0,5.94E+276,,,,,,,,,,,
,,#NUM!,0,6.19E+277,,,,,,,,,,,
,,#NUM!,0,6.44E+278,,,,,,,,,,,
,,#NUM!,0,6.71E+279,,,,,,,,,,,
,,#NUM!,0,6.99E+280,,,,,,,,,,,
,,#NUM!,0,7.28E+281,,,,,,,,,,,
,,#NUM!,0,7.58E+282,,,,,,,,,,,
,,#NUM!,0,7.89E+283,,,,,,,,,,,
,,#NUM!,0,8.22E+284,,,,,,,,,,,
,,#NUM!,0,8.56E+285,,,,,,,,,,,
,,#NUM!,0,8.91E+286,,,,,,,,,,,
,,#NUM!,0,9.28E+287,,,,,,,,,,,
,,#NUM!,0,9.67E+288,,,,,,,,,,,
,,#NUM!,0,1.01E+290,,,,,,,,,,,
,,#NUM!,0,1.05E+291,,,,,,,,,,,
,,#NUM!,0,1.09E+292,,,,,,,,,,,
,,#NUM!,0,1.14E+293,,,,,,,,,,,
,,#NUM!,0,1.18E+294,,,,,,,,,,,
,,#NUM!,0,1.23E+295,,,,,,,,,,,
,,#NUM!,0,1.28E+296,,,,,,,,,,,
,,#NUM!,0,1.34E+297,,,,,,,,,,,
,,#NUM!,0,1.39E+298,,,,,,,,,,,
,,#NUM!,0,1.45E+299,,,,,,,,,,,
,,#NUM!,0,1.51E+300,,,,,,,,,,,
,,#NUM!,0,1.57E+301,,,,,,,,,,,
,,#NUM!,0,1.64E+302,,,,,,,,,,,
,,#NUM!,0,1.71E+303,,,,,,,,,,,
,,#NUM!,0,1.78E+304,,,,,,,,,,,
,,#NUM!,0,1.85E+305,,,,,,,,,,,
,,#NUM!,0,1.93E+306,,,,,,,,,,,
,,#NUM!,0,2.01E+307,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
